Feature,Pearson_r_with_log_cases
cases_lag1,0.730564070237987
temp_mean_lag1,0.5992381996574069
temp_roll3,0.5589078642269549
precip_lag1,0.3128327338572585
monsoon,0.2454740628592207
precip_roll3,0.20842587264842236
humidity_lag1,0.1802382158111876
flood_lag1,0.12176378139745596
month_sin,-0.13303613215959126
month_cos,-0.22643252657461074
