period ,district ,flood incidence
20170814,201 Saptari,1
20180827,201 Saptari,1
20210706,201 Saptari,1
20170810,201 Saptari,1
20210616,201 Saptari,1
20170815,201 Saptari,1
20170818,201 Saptari,1
20160625,201 Saptari,1
20170610,201 Saptari,1
20190714,202 Siraha,1
20190717,202 Siraha,1
20190713,202 Siraha,1
20200713,202 Siraha,1
20230825,202 Siraha,1
20170812,202 Siraha,1
20170814,202 Siraha,1
20160724,202 Siraha,1
20220529,202 Siraha,1
20160921,203 Dhanusa,1
20190713,203 Dhanusa,1
20200728,203 Dhanusa,1
20210721,203 Dhanusa,1
20210718,203 Dhanusa,1
20190715,203 Dhanusa,1
20170812,203 Dhanusa,1
20170813,203 Dhanusa,1
20170814,203 Dhanusa,1
20160903,204 Mahottari,1
20180617,204 Mahottari,1
20190714,204 Mahottari,1
20160906,204 Mahottari,1
20190712,204 Mahottari,1
20230808,204 Mahottari,1
20190715,204 Mahottari,1
20170811,204 Mahottari,1
20170812,204 Mahottari,1
20170813,204 Mahottari,1
20170814,204 Mahottari,1
20170817,204 Mahottari,1
20170819,204 Mahottari,1
20160903,205 Sarlahi,1
20210704,205 Sarlahi,1
20170820,205 Sarlahi,1
20180703,205 Sarlahi,1
20171002,205 Sarlahi,1
20230623,205 Sarlahi,1
20190715,205 Sarlahi,1
20200711,205 Sarlahi,1
20160725,205 Sarlahi,1
20170812,205 Sarlahi,1
20170813,205 Sarlahi,1
20170814,205 Sarlahi,1
20160627,205 Sarlahi,1
20170821,205 Sarlahi,1
20170823,205 Sarlahi,1
20210703,205 Sarlahi,1
20160701,205 Sarlahi,1
20160728,205 Sarlahi,1
20150715,205 Sarlahi,1
20170818,205 Sarlahi,1
20160910,205 Sarlahi,1
20170822,205 Sarlahi,1
20160720,206 Rautahat,1
20190714,206 Rautahat,1
20190713,206 Rautahat,1
20190712,206 Rautahat,1
20200720,206 Rautahat,1
20230825,206 Rautahat,1
20210702,206 Rautahat,1
20190715,206 Rautahat,1
20190716,206 Rautahat,1
20170811,206 Rautahat,1
20170812,206 Rautahat,1
20170813,206 Rautahat,1
20170814,206 Rautahat,1
20210627,206 Rautahat,1
20170815,206 Rautahat,1
20210630,206 Rautahat,1
20160903,207 Bara,1
20180702,207 Bara,1
20190713,207 Bara,1
20190712,207 Bara,1
20230808,207 Bara,1
20160725,207 Bara,1
20170812,207 Bara,1
20170813,207 Bara,1
20170804,207 Bara,1
20190714,208 Parsa,1
20180702,208 Parsa,1
20190713,208 Parsa,1
20190712,208 Parsa,1
20190716,208 Parsa,1
20160726,208 Parsa,1
20170812,208 Parsa,1
20170813,208 Parsa,1
20170814,208 Parsa,1
20170804,208 Parsa,1
20170815,208 Parsa,1
20210630,208 Parsa,1
20200618,301 Dolakha,1
20200806,301 Dolakha,1
20220724,301 Dolakha,1
20160722,301 Dolakha,1
20160723,302 Sindhupalchok,1
20180818,302 Sindhupalchok,1
20190712,302 Sindhupalchok,1
20230825,302 Sindhupalchok,1
20170911,302 Sindhupalchok,1
20230823,302 Sindhupalchok,1
20190705,302 Sindhupalchok,1
20190706,302 Sindhupalchok,1
20190810,302 Sindhupalchok,1
20220808,302 Sindhupalchok,1
20170823,302 Sindhupalchok,1
20210615,302 Sindhupalchok,1
20170715,302 Sindhupalchok,1
20180627,302 Sindhupalchok,1
20190702,302 Sindhupalchok,1
20180716,302 Sindhupalchok,1
20160913,302 Sindhupalchok,1
20160905,302 Sindhupalchok,1
20160704,302 Sindhupalchok,1
20210731,302 Sindhupalchok,1
20210801,302 Sindhupalchok,1
20230814,302 Sindhupalchok,1
20170806,303 Rasuwa,1
20200621,303 Rasuwa,1
20200721,303 Rasuwa,1
20160814,303 Rasuwa,1
20180609,303 Rasuwa,1
20190704,303 Rasuwa,1
20190818,303 Rasuwa,1
20210701,304 Dhading,1
20190712,304 Dhading,1
20190715,304 Dhading,1
20221006,304 Dhading,1
20180818,305 Nuwakot,1
20200625,305 Nuwakot,1
20190901,305 Nuwakot,1
20180817,305 Nuwakot,1
20170729,305 Nuwakot,1
20160809,305 Nuwakot,1
20190705,305 Nuwakot,1
20190823,305 Nuwakot,1
20220726,305 Nuwakot,1
20210831,305 Nuwakot,1
20220720,305 Nuwakot,1
20170718,305 Nuwakot,1
20190704,305 Nuwakot,1
20200818,305 Nuwakot,1
20160723,306 Kathmandu,1
20180815,306 Kathmandu,1
20210905,306 Kathmandu,1
20160731,306 Kathmandu,1
20190712,306 Kathmandu,1
20200720,306 Kathmandu,1
20230808,306 Kathmandu,1
20200710,306 Kathmandu,1
20170808,306 Kathmandu,1
20180712,306 Kathmandu,1
20190811,306 Kathmandu,1
20210819,306 Kathmandu,1
20230723,306 Kathmandu,1
20180805,306 Kathmandu,1
20210906,306 Kathmandu,1
20190805,306 Kathmandu,1
20170624,306 Kathmandu,1
20170714,306 Kathmandu,1
20190420,306 Kathmandu,1
20210920,306 Kathmandu,1
20211005,306 Kathmandu,1
20230319,306 Kathmandu,1
20170803,307 Bhaktapur,1
20180816,307 Bhaktapur,1
20160726,307 Bhaktapur,1
20190811,307 Bhaktapur,1
20220810,307 Bhaktapur,1
20180805,307 Bhaktapur,1
20190817,307 Bhaktapur,1
20200610,307 Bhaktapur,1
20200505,307 Bhaktapur,1
20200527,307 Bhaktapur,1
20190713,308 Lalitpur,1
20190711,308 Lalitpur,1
20170812,308 Lalitpur,1
20210616,308 Lalitpur,1
20160921,309 Kavrepalanchok,1
20160912,309 Kavrepalanchok,1
20230624,309 Kavrepalanchok,1
20210528,309 Kavrepalanchok,1
20190810,309 Kavrepalanchok,1
20190811,309 Kavrepalanchok,1
20220720,309 Kavrepalanchok,1
20210616,309 Kavrepalanchok,1
20210617,309 Kavrepalanchok,1
20200527,309 Kavrepalanchok,1
20200805,309 Kavrepalanchok,1
20220411,309 Kavrepalanchok,1
20220908,309 Kavrepalanchok,1
20230514,309 Kavrepalanchok,1
20170716,310 Ramechhap,1
20160912,310 Ramechhap,1
20220818,310 Ramechhap,1
20180514,310 Ramechhap,1
20230613,310 Ramechhap,1
20210701,311 Sindhuli,1
20190722,311 Sindhuli,1
20211019,311 Sindhuli,1
20160721,311 Sindhuli,1
20230624,311 Sindhuli,1
20190712,311 Sindhuli,1
20210711,311 Sindhuli,1
20230813,311 Sindhuli,1
20210528,311 Sindhuli,1
20170812,311 Sindhuli,1
20170813,311 Sindhuli,1
20210827,311 Sindhuli,1
20161001,311 Sindhuli,1
20170817,311 Sindhuli,1
20200709,311 Sindhuli,1
20210703,311 Sindhuli,1
20160517,311 Sindhuli,1
20170702,311 Sindhuli,1
20160722,311 Sindhuli,1
20160703,311 Sindhuli,1
20150901,311 Sindhuli,1
20160524,311 Sindhuli,1
20160623,311 Sindhuli,1
20190721,311 Sindhuli,1
20160723,312 Makwanpur,1
20210903,312 Makwanpur,1
20210705,312 Makwanpur,1
20190712,312 Makwanpur,1
20190716,312 Makwanpur,1
20170812,312 Makwanpur,1
20170813,312 Makwanpur,1
20170814,312 Makwanpur,1
20221005,312 Makwanpur,1
20190710,312 Makwanpur,1
20170815,312 Makwanpur,1
20200505,312 Makwanpur,1
20160504,312 Makwanpur,1
20210928,312 Makwanpur,1
20180911,313 Chitwan,1
20210826,313 Chitwan,1
20160726,313 Chitwan,1
20200721,313 Chitwan,1
20160725,313 Chitwan,1
20160727,313 Chitwan,1
20170812,313 Chitwan,1
20170813,313 Chitwan,1
20170814,313 Chitwan,1
20150821,313 Chitwan,1
20190622,313 Chitwan,1
20170818,313 Chitwan,1
20210630,313 Chitwan,1
20160521,313 Chitwan,1
20170812,401 Gorkha,1
20210619,401 Gorkha,1
20210615,401 Gorkha,1
20200724,401 Gorkha,1
20210703,401 Gorkha,1
20180718,401 Gorkha,1
20210616,401 Gorkha,1
20230828,401 Gorkha,1
20210528,402 Manang,1
20230713,402 Manang,1
20210615,402 Manang,1
20230613,402 Manang,1
20190623,402 Manang,1
20210527,402 Manang,1
20190712,403 Mustang,1
20200720,403 Mustang,1
20230704,403 Mustang,1
20230813,403 Mustang,1
20230715,403 Mustang,1
20180912,403 Mustang,1
20230820,403 Mustang,1
20210614,403 Mustang,1
20230814,403 Mustang,1
20161218,403 Mustang,1
20180811,403 Mustang,1
20180815,404 Myagdi,1
20180818,404 Myagdi,1
20230620,404 Myagdi,1
20230520,404 Myagdi,1
20200710,404 Myagdi,1
20200721,404 Myagdi,1
20160901,404 Myagdi,1
20200620,404 Myagdi,1
20180912,404 Myagdi,1
20210830,404 Myagdi,1
20210706,404 Myagdi,1
20190525,404 Myagdi,1
20230613,404 Myagdi,1
20160611,404 Myagdi,1
20160917,404 Myagdi,1
20190922,404 Myagdi,1
20230605,404 Myagdi,1
20180910,405 Kaski,1
20210701,405 Kaski,1
20220618,405 Kaski,1
20230729,405 Kaski,1
20170627,405 Kaski,1
20190917,405 Kaski,1
20210707,405 Kaski,1
20170710,405 Kaski,1
20230714,405 Kaski,1
20170701,405 Kaski,1
20200710,405 Kaski,1
