,,
periodname,organisationunitname,Outpatient Morbidity-Communicable-Water/Food Borne-Typhoid (Enteric Fever) Cases
Baishak 2073,304 DHADING,625
Baishak 2073,605 KALIKOT,151
Baishak 2073,7 Sudurpashchim Province,"3,433"
Baishak 2073,701 BAJURA,305
Baishak 2073,512 BARDIYA,582
Baishak 2073,113 SUNSARI,514
Baishak 2073,309 KAVREPALANCHOK,605
Baishak 2073,112 MORANG,"1,850"
Baishak 2073,109 PANCHTHAR,98
Baishak 2073,503 PYUTHAN,457
Baishak 2073,505 ARGHAKHANCHI,232
Baishak 2073,406 LAMJUNG,412
Baishak 2073,708 KAILALI,827
Baishak 2073,313 CHITWAN,266
Baishak 2073,107 DHANKUTA,243
Baishak 2073,206 RAUTAHAT ,976
Baishak 2073,203 DHANUSA,"1,303"
Baishak 2073,308 LALITPUR,674
Baishak 2073,103 SOLUKHUMBU,197
Baishak 2073,104 OKHALDHUNGA,279
Baishak 2073,405 KASKI,"1,511"
Baishak 2073,502 ROLPA,397
Baishak 2073,306 KATHMANDU,"1,183"
Baishak 2073,110 ILAM,112
Baishak 2073,303 RASUWA,27
Baishak 2073,6 Karnali Province,"3,167"
Baishak 2073,105 KHOTANG,269
Baishak 2073,401 GORKHA,295
Baishak 2073,202 SIRAHA,865
Baishak 2073,403 MUSTANG,13
Baishak 2073,302 SINDHUPALCHOK,403
Baishak 2073,410 PARBAT,239
Baishak 2073,408 NAWALPARASI EAST,409
Baishak 2073,101 TAPLEJUNG,171
Baishak 2073,702 BAJHANG,539
Baishak 2073,311 SINDHULI,566
Baishak 2073,504 GULMI,436
Baishak 2073,312 MAKWANPUR,216
Baishak 2073,307 BHAKTAPUR,251
Baishak 2073,106 BHOJPUR,237
Baishak 2073,510 DANG,870
Baishak 2073,402 MANANG,3
Baishak 2073,205 SARLAHI,840
Baishak 2073,602 MUGU,44
Baishak 2073,507 NAWALPARASI WEST,477
Baishak 2073,305 NUWAKOT,395
Baishak 2074,203 DHANUSA,"1,018"
Baishak 2074,406 LAMJUNG,358
Baishak 2074,101 TAPLEJUNG,152
Baishak 2074,708 KAILALI,923
Baishak 2074,503 PYUTHAN,365
Baishak 2074,504 GULMI,367
Baishak 2074,309 KAVREPALANCHOK,446
Baishak 2074,510 DANG,"4,678"
Baishak 2074,508 RUPANDEHI,521
Baishak 2074,305 NUWAKOT,400
Baishak 2074,507 NAWALPARASI WEST,562
Baishak 2074,307 BHAKTAPUR,307
Baishak 2074,205 SARLAHI,633
Baishak 2074,409 SYANGJA,244
Baishak 2074,106 BHOJPUR,209
Baishak 2074,702 BAJHANG,407
Baishak 2074,304 DHADING,439
Baishak 2074,505 ARGHAKHANCHI,241
Baishak 2074,313 CHITWAN,793
Baishak 2074,206 RAUTAHAT ,910
Baishak 2074,607 JAJARKOT,239
Baishak 2074,401 GORKHA,263
Baishak 2074,1 Koshi Province,"6,558"
Baishak 2074,109 PANCHTHAR,55
Baishak 2074,5 Lumbini Province,"9,224"
Baishak 2074,405 KASKI,985
Baishak 2074,108 TERHATHUM,159
Baishak 2074,104 OKHALDHUNGA,168
Baishak 2074,303 RASUWA,23
Baishak 2074,511 BANKE,605
Baishak 2074,502 ROLPA,375
Baishak 2074,604 JUMLA,92
Baishak 2074,402 MANANG,3
Baishak 2074,609 SALYAN,460
Baishak 2074,310 RAMECHHAP,277
Baishak 2074,208 PARSA,422
Baishak 2074,3 Bagmati Province,"5,666"
Baishak 2074,312 MAKWANPUR,91
Baishak 2074,506 PALPA,484
Baishak 2074,603 HUMLA,202
Baishak 2074,410 PARBAT,250
Baishak 2074,703 DARCHULA,139
Baishak 2074,404 MYAGDI,77
Baishak 2074,4 Gandaki Province,"3,274"
Baishak 2074,408 NAWALPARASI EAST,256
Baishak 2074,302 SINDHUPALCHOK,235
Baishak 2074,706 DOTI,233
Baishak 2074,610 SURKHET,670
Baishak 2074,403 MUSTANG,3
Baishak 2074,105 KHOTANG,219
Baishak 2074,605 KALIKOT,74
Baishak 2074,601 DOLPA,69
Baishak 2074,701 BAJURA,373
Baishak 2074,602 MUGU,49
Baishak 2074,113 SUNSARI,553
Baishak 2074,512 BARDIYA,384
Baishak 2074,2 Madhesh Province,"5,842"
Baishak 2074,201 SAPTARI,556
Baishak 2074,704 BAITADI,241
Baishak 2074,308 LALITPUR,530
Baishak 2074,107 DHANKUTA,135
Baishak 2074,7 Sudurpashchim Province,"3,314"
Baishak 2074,102 SANKHUWASABHA,239
Baishak 2074,311 SINDHULI,613
Baishak 2074,112 MORANG,"2,867"
Baishak 2074,608 RUKUM WEST,253
Baishak 2074,411 BAGLUNG,548
Baishak 2074,207 BARA,553
Baishak 2074,407 TANAHU,287
Baishak 2074,509 KAPILBASTU,513
Baishak 2074,202 SIRAHA,910
Baishak 2074,6 Karnali Province,"2,789"
Baishak 2074,Nepal,"36,667"
Baishak 2074,110 ILAM,143
Baishak 2074,103 SOLUKHUMBU,86
Baishak 2074,301 DOLAKHA,134
Baishak 2074,306 KATHMANDU,"1,378"
Baishak 2074,501 RUKUM EAST,129
Baishak 2074,709 KANCHANPUR,660
Baishak 2074,606 DAILEKH,681
Baishak 2074,707 ACHHAM,164
Baishak 2074,114 UDAYAPUR,492
Baishak 2074,705 DADELDHURA,174
Baishak 2074,204 MAHOTTARI,840
Baishak 2074,111 JHAPA,"1,081"
Baishak 2075,203 DHANUSA,"1,184"
Baishak 2075,507 NAWALPARASI WEST,427
Baishak 2075,205 SARLAHI,143
Baishak 2075,708 KAILALI,"1,004"
Baishak 2075,503 PYUTHAN,333
Baishak 2075,406 LAMJUNG,221
Baishak 2075,207 BARA,459
Baishak 2075,313 CHITWAN,576
Baishak 2075,508 RUPANDEHI,971
Baishak 2075,504 GULMI,471
Baishak 2075,510 DANG,743
Baishak 2075,201 SAPTARI,317
Baishak 2075,106 BHOJPUR,253
Baishak 2075,206 RAUTAHAT ,851
Baishak 2075,303 RASUWA,31
Baishak 2075,309 KAVREPALANCHOK,462
Baishak 2075,113 SUNSARI,271
Baishak 2075,405 KASKI,"1,186"
Baishak 2075,409 SYANGJA,357
Baishak 2075,401 GORKHA,338
Baishak 2075,304 DHADING,673
Baishak 2075,109 PANCHTHAR,95
Baishak 2075,610 SURKHET,583
Baishak 2075,505 ARGHAKHANCHI,223
Baishak 2075,1 Koshi Province,"4,799"
Baishak 2075,511 BANKE,866
Baishak 2075,607 JAJARKOT,384
Baishak 2075,502 ROLPA,397
Baishak 2075,104 OKHALDHUNGA,171
Baishak 2075,108 TERHATHUM,177
Baishak 2075,5 Lumbini Province,"5,851"
Baishak 2075,404 MYAGDI,153
Baishak 2075,208 PARSA,403
Baishak 2075,3 Bagmati Province,"6,735"
Baishak 2075,114 UDAYAPUR,472
Baishak 2075,312 MAKWANPUR,121
Baishak 2075,703 DARCHULA,118
Baishak 2075,604 JUMLA,85
Baishak 2075,603 HUMLA,165
Baishak 2075,402 MANANG,1
Baishak 2075,705 DADELDHURA,152
Baishak 2075,707 ACHHAM,292
Baishak 2075,709 KANCHANPUR,745
Baishak 2075,501 RUKUM EAST,98
Baishak 2075,310 RAMECHHAP,223
Baishak 2075,609 SALYAN,498
Baishak 2075,411 BAGLUNG,518
Baishak 2075,4 Gandaki Province,"3,365"
Baishak 2075,706 DOTI,346
Baishak 2075,512 BARDIYA,372
Baishak 2075,408 NAWALPARASI EAST,113
Baishak 2075,701 BAJURA,317
Baishak 2075,602 MUGU,53
Baishak 2075,7 Sudurpashchim Province,"3,606"
Baishak 2075,601 DOLPA,54
Baishak 2075,605 KALIKOT,100
Baishak 2075,702 BAJHANG,499
Baishak 2075,102 SANKHUWASABHA,264
Baishak 2075,111 JHAPA,"1,030"
Baishak 2075,704 BAITADI,133
Baishak 2075,308 LALITPUR,711
Baishak 2075,305 NUWAKOT,229
Baishak 2075,301 DOLAKHA,470
Baishak 2075,307 BHAKTAPUR,271
Baishak 2075,608 RUKUM WEST,289
Baishak 2075,107 DHANKUTA,150
Baishak 2075,311 SINDHULI,512
Baishak 2075,2 Madhesh Province,"5,558"
Baishak 2075,103 SOLUKHUMBU,38
Baishak 2075,403 MUSTANG,6
Baishak 2075,302 SINDHUPALCHOK,361
Baishak 2075,Nepal,"32,827"
Baishak 2075,105 KHOTANG,164
Baishak 2075,204 MAHOTTARI,"1,348"
Baishak 2075,112 MORANG,"1,441"
Baishak 2075,6 Karnali Province,"2,913"
Baishak 2075,101 TAPLEJUNG,114
Baishak 2075,407 TANAHU,263
Baishak 2075,202 SIRAHA,853
Baishak 2075,509 KAPILBASTU,513
Baishak 2075,606 DAILEKH,702
Baishak 2075,410 PARBAT,209
Baishak 2075,306 KATHMANDU,"2,095"
Baishak 2075,110 ILAM,159
Baishak 2075,506 PALPA,437
Baishak 2076,503 PYUTHAN,406
Baishak 2076,109 PANCHTHAR,107
Baishak 2076,112 MORANG,"1,137"
Baishak 2076,708 KAILALI,"1,118"
Baishak 2076,406 LAMJUNG,312
Baishak 2076,313 CHITWAN,335
Baishak 2076,203 DHANUSA,906
Baishak 2076,311 SINDHULI,641
Baishak 2076,201 SAPTARI,256
Baishak 2076,113 SUNSARI,371
Baishak 2076,205 SARLAHI,"1,194"
Baishak 2076,601 DOLPA,113
Baishak 2076,507 NAWALPARASI WEST,180
Baishak 2076,504 GULMI,507
Baishak 2076,106 BHOJPUR,132
Baishak 2076,702 BAJHANG,445
Baishak 2076,108 TERHATHUM,170
Baishak 2076,401 GORKHA,275
Baishak 2076,405 KASKI,"1,713"
Baishak 2076,701 BAJURA,270
Baishak 2076,502 ROLPA,469
Baishak 2076,607 JAJARKOT,324
Baishak 2076,408 NAWALPARASI EAST,225
Baishak 2076,508 RUPANDEHI,791
Baishak 2076,304 DHADING,269
Baishak 2076,609 SALYAN,572
Baishak 2076,409 SYANGJA,307
Baishak 2076,310 RAMECHHAP,211
Baishak 2076,703 DARCHULA,131
Baishak 2076,206 RAUTAHAT ,"1,001"
Baishak 2076,511 BANKE,817
Baishak 2076,303 RASUWA,23
Baishak 2076,505 ARGHAKHANCHI,186
Baishak 2076,104 OKHALDHUNGA,225
Baishak 2076,411 BAGLUNG,562
Baishak 2076,5 Lumbini Province,"5,730"
Baishak 2076,706 DOTI,246
Baishak 2076,407 TANAHU,304
Baishak 2076,1 Koshi Province,"4,866"
Baishak 2076,512 BARDIYA,547
Baishak 2076,312 MAKWANPUR,203
Baishak 2076,603 HUMLA,57
Baishak 2076,610 SURKHET,"1,340"
Baishak 2076,7 Sudurpashchim Province,"3,427"
Baishak 2076,402 MANANG,12
Baishak 2076,604 JUMLA,120
Baishak 2076,704 BAITADI,184
Baishak 2076,602 MUGU,34
Baishak 2076,404 MYAGDI,78
Baishak 2076,608 RUKUM WEST,536
Baishak 2076,605 KALIKOT,199
Baishak 2076,309 KAVREPALANCHOK,425
Baishak 2076,305 NUWAKOT,279
Baishak 2076,102 SANKHUWASABHA,276
Baishak 2076,510 DANG,822
Baishak 2076,403 MUSTANG,3
Baishak 2076,302 SINDHUPALCHOK,299
Baishak 2076,4 Gandaki Province,"4,159"
Baishak 2076,307 BHAKTAPUR,264
Baishak 2076,207 BARA,412
Baishak 2076,101 TAPLEJUNG,251
Baishak 2076,204 MAHOTTARI,"1,073"
Baishak 2076,103 SOLUKHUMBU,55
Baishak 2076,509 KAPILBASTU,543
Baishak 2076,Nepal,"33,499"
Baishak 2076,105 KHOTANG,207
Baishak 2076,705 DADELDHURA,172
Baishak 2076,107 DHANKUTA,119
Baishak 2076,2 Madhesh Province,"6,034"
Baishak 2076,308 LALITPUR,537
Baishak 2076,111 JHAPA,"1,195"
Baishak 2076,501 RUKUM EAST,131
Baishak 2076,410 PARBAT,368
Baishak 2076,606 DAILEKH,537
Baishak 2076,709 KANCHANPUR,493
Baishak 2076,707 ACHHAM,368
Baishak 2076,110 ILAM,146
Baishak 2076,114 UDAYAPUR,475
Baishak 2076,301 DOLAKHA,293
Baishak 2076,202 SIRAHA,892
Baishak 2076,6 Karnali Province,"3,832"
Baishak 2076,306 KATHMANDU,"1,672"
Baishak 2076,208 PARSA,300
Baishak 2076,3 Bagmati Province,"5,451"
Baishak 2076,506 PALPA,331
Baishak 2077,508 RUPANDEHI,324
Baishak 2077,205 SARLAHI,853
Baishak 2077,203 DHANUSA,553
Baishak 2077,101 TAPLEJUNG,99
Baishak 2077,401 GORKHA,178
Baishak 2077,207 BARA,366
Baishak 2077,406 LAMJUNG,110
Baishak 2077,301 DOLAKHA,144
Baishak 2077,708 KAILALI,396
Baishak 2077,607 JAJARKOT,199
Baishak 2077,109 PANCHTHAR,73
Baishak 2077,204 MAHOTTARI,812
Baishak 2077,111 JHAPA,453
Baishak 2077,6 Karnali Province,"2,514"
Baishak 2077,202 SIRAHA,715
Baishak 2077,110 ILAM,48
Baishak 2077,108 TERHATHUM,30
Baishak 2077,306 KATHMANDU,588
Baishak 2077,608 RUKUM WEST,377
Baishak 2077,409 SYANGJA,201
Baishak 2077,7 Sudurpashchim Province,"1,664"
Baishak 2077,505 ARGHAKHANCHI,211
Baishak 2077,610 SURKHET,627
Baishak 2077,704 BAITADI,70
Baishak 2077,2 Madhesh Province,"4,517"
Baishak 2077,206 RAUTAHAT ,586
Baishak 2077,503 PYUTHAN,277
Baishak 2077,411 BAGLUNG,355
Baishak 2077,304 DHADING,335
Baishak 2077,701 BAJURA,142
Baishak 2077,4 Gandaki Province,"1,681"
Baishak 2077,512 BARDIYA,286
Baishak 2077,706 DOTI,222
Baishak 2077,604 JUMLA,115
Baishak 2077,113 SUNSARI,145
Baishak 2077,102 SANKHUWASABHA,90
Baishak 2077,309 KAVREPALANCHOK,142
Baishak 2077,605 KALIKOT,105
Baishak 2077,201 SAPTARI,302
Baishak 2077,601 DOLPA,29
Baishak 2077,506 PALPA,217
Baishak 2077,705 DADELDHURA,11
Baishak 2077,511 BANKE,446
Baishak 2077,606 DAILEKH,514
Baishak 2077,501 RUKUM EAST,100
Baishak 2077,402 MANANG,2
Baishak 2077,410 PARBAT,141
Baishak 2077,105 KHOTANG,298
Baishak 2077,404 MYAGDI,11
Baishak 2077,Nepal,"18,435"
Baishak 2077,509 KAPILBASTU,384
Baishak 2077,312 MAKWANPUR,149
Baishak 2077,703 DARCHULA,45
Baishak 2077,302 SINDHUPALCHOK,185
Baishak 2077,403 MUSTANG,1
Baishak 2077,609 SALYAN,438
Baishak 2077,310 RAMECHHAP,66
Baishak 2077,104 OKHALDHUNGA,67
Baishak 2077,502 ROLPA,263
Baishak 2077,405 KASKI,412
Baishak 2077,103 SOLUKHUMBU,37
Baishak 2077,603 HUMLA,53
Baishak 2077,1 Koshi Province,"2,215"
Baishak 2077,707 ACHHAM,143
Baishak 2077,407 TANAHU,155
Baishak 2077,208 PARSA,330
Baishak 2077,709 KANCHANPUR,346
Baishak 2077,308 LALITPUR,83
Baishak 2077,114 UDAYAPUR,249
Baishak 2077,303 RASUWA,12
Baishak 2077,5 Lumbini Province,"3,405"
Baishak 2077,3 Bagmati Province,"2,439"
Baishak 2077,106 BHOJPUR,37
Baishak 2077,602 MUGU,57
Baishak 2077,112 MORANG,545
Baishak 2077,313 CHITWAN,185
Baishak 2077,107 DHANKUTA,44
Baishak 2077,311 SINDHULI,335
Baishak 2077,307 BHAKTAPUR,26
Baishak 2077,504 GULMI,453
Baishak 2077,507 NAWALPARASI WEST,85
Baishak 2077,408 NAWALPARASI EAST,115
Baishak 2077,305 NUWAKOT,189
Baishak 2077,702 BAJHANG,289
Baishak 2077,510 DANG,359
Baishak 2078,408 NAWALPARASI EAST,244
Baishak 2078,403 MUSTANG,1
Baishak 2078,302 SINDHUPALCHOK,434
Baishak 2078,Nepal,"39,741"
Baishak 2078,701 BAJURA,648
Baishak 2078,105 KHOTANG,112
Baishak 2078,702 BAJHANG,685
Baishak 2078,104 OKHALDHUNGA,305
Baishak 2078,308 LALITPUR,627
Baishak 2078,410 PARBAT,152
Baishak 2078,4 Gandaki Province,"3,634"
Baishak 2078,107 DHANKUTA,59
Baishak 2078,310 RAMECHHAP,91
Baishak 2078,604 JUMLA,69
Baishak 2078,311 SINDHULI,590
Baishak 2078,201 SAPTARI,272
Baishak 2078,113 SUNSARI,179
Baishak 2078,703 DARCHULA,128
Baishak 2078,206 RAUTAHAT ,"1,067"
Baishak 2078,106 BHOJPUR,82
Baishak 2078,609 SALYAN,"1,188"
Baishak 2078,601 DOLPA,119
Baishak 2078,312 MAKWANPUR,160
Baishak 2078,1 Koshi Province,"3,125"
Baishak 2078,503 PYUTHAN,450
Baishak 2078,610 SURKHET,"1,817"
Baishak 2078,5 Lumbini Province,"7,741"
Baishak 2078,708 KAILALI,"1,259"
Baishak 2078,313 CHITWAN,675
Baishak 2078,505 ARGHAKHANCHI,376
Baishak 2078,504 GULMI,709
Baishak 2078,109 PANCHTHAR,118
Baishak 2078,303 RASUWA,14
Baishak 2078,502 ROLPA,946
Baishak 2078,511 BANKE,"1,082"
Baishak 2078,405 KASKI,"1,053"
Baishak 2078,108 TERHATHUM,128
Baishak 2078,607 JAJARKOT,930
Baishak 2078,401 GORKHA,412
Baishak 2078,101 TAPLEJUNG,130
Baishak 2078,207 BARA,"1,234"
Baishak 2078,6 Karnali Province,"6,427"
Baishak 2078,510 DANG,880
Baishak 2078,102 SANKHUWASABHA,264
Baishak 2078,202 SIRAHA,"1,057"
Baishak 2078,7 Sudurpashchim Province,"4,828"
Baishak 2078,409 SYANGJA,277
Baishak 2078,205 SARLAHI,"2,617"
Baishak 2078,304 DHADING,341
Baishak 2078,602 MUGU,52
Baishak 2078,507 NAWALPARASI WEST,389
Baishak 2078,508 RUPANDEHI,802
Baishak 2078,309 KAVREPALANCHOK,402
Baishak 2078,305 NUWAKOT,251
Baishak 2078,307 BHAKTAPUR,142
Baishak 2078,512 BARDIYA,639
Baishak 2078,411 BAGLUNG,771
Baishak 2078,406 LAMJUNG,236
Baishak 2078,605 KALIKOT,303
Baishak 2078,404 MYAGDI,18
Baishak 2078,603 HUMLA,79
Baishak 2078,208 PARSA,822
Baishak 2078,608 RUKUM WEST,"1,045"
Baishak 2078,706 DOTI,696
Baishak 2078,112 MORANG,656
Baishak 2078,506 PALPA,438
Baishak 2078,2 Madhesh Province,"8,975"
Baishak 2078,705 DADELDHURA,215
Baishak 2078,704 BAITADI,296
Baishak 2078,110 ILAM,110
Baishak 2078,306 KATHMANDU,"1,134"
Baishak 2078,3 Bagmati Province,"5,011"
Baishak 2078,103 SOLUKHUMBU,24
Baishak 2078,509 KAPILBASTU,824
Baishak 2078,301 DOLAKHA,150
Baishak 2078,707 ACHHAM,320
Baishak 2078,114 UDAYAPUR,421
Baishak 2078,203 DHANUSA,995
Baishak 2078,111 JHAPA,537
Baishak 2078,606 DAILEKH,825
Baishak 2078,709 KANCHANPUR,581
Baishak 2078,204 MAHOTTARI,911
Baishak 2078,407 TANAHU,470
Baishak 2078,501 RUKUM EAST,206
Baishak 2079,510 DANG,389
Baishak 2079,301 DOLAKHA,490
Baishak 2079,307 BHAKTAPUR,121
Baishak 2079,305 NUWAKOT,93
Baishak 2079,309 KAVREPALANCHOK,307
Baishak 2079,108 TERHATHUM,176
Baishak 2079,704 BAITADI,125
Baishak 2079,2 Madhesh Province,"4,979"
Baishak 2079,204 MAHOTTARI,799
Baishak 2079,401 GORKHA,331
Baishak 2079,304 DHADING,211
Baishak 2079,111 JHAPA,789
Baishak 2079,508 RUPANDEHI,412
Baishak 2079,602 MUGU,44
Baishak 2079,608 RUKUM WEST,781
Baishak 2079,706 DOTI,459
Baishak 2079,207 BARA,490
Baishak 2079,102 SANKHUWASABHA,141
Baishak 2079,7 Sudurpashchim Province,"2,299"
Baishak 2079,603 HUMLA,55
Baishak 2079,504 GULMI,415
Baishak 2079,507 NAWALPARASI WEST,173
Baishak 2079,707 ACHHAM,103
Baishak 2079,114 UDAYAPUR,433
Baishak 2079,406 LAMJUNG,261
Baishak 2079,3 Bagmati Province,"3,630"
Baishak 2079,205 SARLAHI,947
Baishak 2079,705 DADELDHURA,86
Baishak 2079,411 BAGLUNG,495
Baishak 2079,709 KANCHANPUR,354
Baishak 2079,312 MAKWANPUR,146
Baishak 2079,203 DHANUSA,547
Baishak 2079,402 MANANG,1
Baishak 2079,407 TANAHU,225
Baishak 2079,501 RUKUM EAST,163
Baishak 2079,606 DAILEKH,329
Baishak 2079,506 PALPA,205
Baishak 2079,107 DHANKUTA,69
Baishak 2079,110 ILAM,120
Baishak 2079,306 KATHMANDU,"1,009"
Baishak 2079,308 LALITPUR,144
Baishak 2079,202 SIRAHA,892
Baishak 2079,6 Karnali Province,"2,725"
Baishak 2079,208 PARSA,525
Baishak 2079,101 TAPLEJUNG,85
Baishak 2079,112 MORANG,689
Baishak 2079,410 PARBAT,213
Baishak 2079,103 SOLUKHUMBU,69
Baishak 2079,104 OKHALDHUNGA,102
Baishak 2079,502 ROLPA,338
Baishak 2079,702 BAJHANG,357
Baishak 2079,601 DOLPA,61
Baishak 2079,303 RASUWA,32
Baishak 2079,701 BAJURA,211
Baishak 2079,113 SUNSARI,177
Baishak 2079,105 KHOTANG,103
Baishak 2079,302 SINDHUPALCHOK,125
Baishak 2079,Nepal,"24,227"
Baishak 2079,311 SINDHULI,508
Baishak 2079,509 KAPILBASTU,290
Baishak 2079,405 KASKI,"1,549"
Baishak 2079,106 BHOJPUR,40
Baishak 2079,313 CHITWAN,358
Baishak 2079,408 NAWALPARASI EAST,244
Baishak 2079,604 JUMLA,63
Baishak 2079,201 SAPTARI,193
Baishak 2079,404 MYAGDI,12
Baishak 2079,4 Gandaki Province,"3,639"
Baishak 2079,708 KAILALI,533
Baishak 2079,605 KALIKOT,71
Baishak 2079,5 Lumbini Province,"3,821"
Baishak 2079,1 Koshi Province,"3,134"
Baishak 2079,503 PYUTHAN,180
Baishak 2079,512 BARDIYA,433
Baishak 2079,511 BANKE,558
Baishak 2079,310 RAMECHHAP,86
Baishak 2079,409 SYANGJA,308
Baishak 2079,610 SURKHET,671
Baishak 2079,609 SALYAN,327
Baishak 2079,703 DARCHULA,71
Baishak 2079,206 RAUTAHAT ,586
Baishak 2079,607 JAJARKOT,323
Baishak 2079,505 ARGHAKHANCHI,265
Baishak 2079,109 PANCHTHAR,141
Baishak 2080,5 Lumbini Province,"4,607"
Baishak 2080,602 MUGU,18
Baishak 2080,610 SURKHET,749
Baishak 2080,1 Koshi Province,"2,893"
Baishak 2080,411 BAGLUNG,460
Baishak 2080,512 BARDIYA,510
Baishak 2080,304 DHADING,154
Baishak 2080,2 Madhesh Province,"5,471"
Baishak 2080,407 TANAHU,247
Baishak 2080,312 MAKWANPUR,127
Baishak 2080,707 ACHHAM,95
Baishak 2080,3 Bagmati Province,"2,731"
Baishak 2080,114 UDAYAPUR,351
Baishak 2080,208 PARSA,372
Baishak 2080,111 JHAPA,675
Baishak 2080,709 KANCHANPUR,481
Baishak 2080,703 DARCHULA,78
Baishak 2080,603 HUMLA,34
Baishak 2080,301 DOLAKHA,85
Baishak 2080,409 SYANGJA,250
Baishak 2080,506 PALPA,188
Baishak 2080,410 PARBAT,90
Baishak 2080,607 JAJARKOT,322
Baishak 2080,202 SIRAHA,826
Baishak 2080,511 BANKE,728
Baishak 2080,105 KHOTANG,58
Baishak 2080,101 TAPLEJUNG,99
Baishak 2080,108 TERHATHUM,81
Baishak 2080,402 MANANG,4
Baishak 2080,403 MUSTANG,2
Baishak 2080,302 SINDHUPALCHOK,103
Baishak 2080,502 ROLPA,564
Baishak 2080,307 BHAKTAPUR,94
Baishak 2080,205 SARLAHI,"1,031"
Baishak 2080,401 GORKHA,137
Baishak 2080,405 KASKI,702
Baishak 2080,702 BAJHANG,408
Baishak 2080,305 NUWAKOT,119
Baishak 2080,507 NAWALPARASI WEST,248
Baishak 2080,510 DANG,346
Baishak 2080,408 NAWALPARASI EAST,159
Baishak 2080,106 BHOJPUR,47
Baishak 2080,504 GULMI,248
Baishak 2080,112 MORANG,905
Baishak 2080,306 KATHMANDU,748
Baishak 2080,313 CHITWAN,360
Baishak 2080,311 SINDHULI,361
Baishak 2080,503 PYUTHAN,203
Baishak 2080,303 RASUWA,4
Baishak 2080,708 KAILALI,655
Baishak 2080,406 LAMJUNG,85
Baishak 2080,206 RAUTAHAT ,819
Baishak 2080,107 DHANKUTA,57
Baishak 2080,104 OKHALDHUNGA,82
Baishak 2080,109 PANCHTHAR,91
Baishak 2080,505 ARGHAKHANCHI,69
Baishak 2080,308 LALITPUR,153
Baishak 2080,509 KAPILBASTU,519
Baishak 2080,204 MAHOTTARI,881
Baishak 2080,6 Karnali Province,"2,754"
Baishak 2080,Nepal,"23,267"
Baishak 2080,207 BARA,445
Baishak 2080,110 ILAM,46
Baishak 2080,310 RAMECHHAP,164
Baishak 2080,609 SALYAN,496
Baishak 2080,705 DADELDHURA,190
Baishak 2080,501 RUKUM EAST,232
Baishak 2080,606 DAILEKH,245
Baishak 2080,103 SOLUKHUMBU,44
Baishak 2080,203 DHANUSA,718
Baishak 2080,508 RUPANDEHI,752
Baishak 2080,404 MYAGDI,5
Baishak 2080,309 KAVREPALANCHOK,259
Baishak 2080,601 DOLPA,45
Baishak 2080,605 KALIKOT,105
Baishak 2080,113 SUNSARI,240
Baishak 2080,704 BAITADI,102
Baishak 2080,701 BAJURA,325
Baishak 2080,608 RUKUM WEST,686
Baishak 2080,706 DOTI,336
Baishak 2080,201 SAPTARI,379
Baishak 2080,102 SANKHUWASABHA,117
Baishak 2080,604 JUMLA,54
Baishak 2080,4 Gandaki Province,"2,141"
Baishak 2080,7 Sudurpashchim Province,"2,670"
Bhadra 2071,201 SAPTARI,771
Bhadra 2071,311 SINDHULI,642
Bhadra 2071,107 DHANKUTA,719
Bhadra 2071,113 SUNSARI,497
Bhadra 2071,308 LALITPUR,477
Bhadra 2071,206 RAUTAHAT ,"1,355"
Bhadra 2071,505 ARGHAKHANCHI,"1,556"
Bhadra 2071,104 OKHALDHUNGA,584
Bhadra 2071,303 RASUWA,139
Bhadra 2071,701 BAJURA,805
Bhadra 2071,306 KATHMANDU,"1,277"
Bhadra 2071,106 BHOJPUR,620
Bhadra 2071,601 DOLPA,87
Bhadra 2071,702 BAJHANG,822
Bhadra 2071,408 NAWALPARASI EAST,460
Bhadra 2071,4 Gandaki Province,"9,101"
Bhadra 2071,405 KASKI,"1,916"
Bhadra 2071,502 ROLPA,"1,339"
Bhadra 2071,103 SOLUKHUMBU,290
Bhadra 2071,313 CHITWAN,485
Bhadra 2071,509 KAPILBASTU,"1,614"
Bhadra 2071,Nepal,"83,098"
Bhadra 2071,604 JUMLA,153
Bhadra 2071,703 DARCHULA,576
Bhadra 2071,404 MYAGDI,290
Bhadra 2071,708 KAILALI,"3,094"
Bhadra 2071,511 BANKE,"1,651"
Bhadra 2071,605 KALIKOT,193
Bhadra 2071,503 PYUTHAN,"1,742"
Bhadra 2071,109 PANCHTHAR,347
Bhadra 2071,607 JAJARKOT,362
Bhadra 2071,512 BARDIYA,"3,653"
Bhadra 2071,508 RUPANDEHI,"2,075"
Bhadra 2071,310 RAMECHHAP,764
Bhadra 2071,609 SALYAN,"1,350"
Bhadra 2071,610 SURKHET,"3,901"
Bhadra 2071,304 DHADING,"1,145"
Bhadra 2071,2 Madhesh Province,"11,760"
Bhadra 2071,7 Sudurpashchim Province,"11,022"
Bhadra 2071,704 BAITADI,773
Bhadra 2071,409 SYANGJA,"1,389"
Bhadra 2071,102 SANKHUWASABHA,"1,073"
Bhadra 2071,111 JHAPA,"1,808"
Bhadra 2071,608 RUKUM WEST,915
Bhadra 2071,510 DANG,"2,278"
Bhadra 2071,309 KAVREPALANCHOK,"1,493"
Bhadra 2071,602 MUGU,28
Bhadra 2071,305 NUWAKOT,907
Bhadra 2071,301 DOLAKHA,406
